"value","analysis","sbj"
1372.66666666667,"visual","S05_l3"
1797.5,"visual","S07_l2"
2222.33333333333,"visual","S11_a2"
1727.83333333333,"visual","S16_l3"
2775.33333333333,"visual","S04_l1"
2332.5,"visual","S16_a3"
1926.83333333333,"visual","S17_a1"
1222.33333333333,"visual","S12_a2"
4501.66666666667,"visual","S11_l1"
2134.66666666667,"visual","S01_l3"
2490.83333333333,"visual","S04_a3"
2045.16666666667,"visual","S03_l3"
1773.5,"visual","S12_a1"
1821.5,"visual","S07_a1"
1858.83333333333,"visual","S13_a1"
2057.66666666667,"visual","S08_l3"
1692.33333333333,"visual","S18_a3"
2170.33333333333,"visual","S16_a1"
1970,"visual","S06_l2"
2721.83333333333,"visual","S12_l1"
1899.16666666667,"visual","S14_l2"
2784.16666666667,"visual","S04_a2"
2441.66666666667,"visual","S10_a3"
1435.5,"visual","S02_l2"
2784.16666666667,"visual","S04_l2"
1851.16666666667,"visual","S06_a3"
1588.5,"visual","S01_a2"
2383.66666666667,"visual","S06_a2"
1759.66666666667,"visual","S15_l2"
1792,"visual","S05_l1"
2185.5,"visual","S07_a2"
2344.16666666667,"visual","S08_l2"
2458,"visual","S13_l3"
2127.66666666667,"visual","S03_a2"
3014.83333333333,"visual","S18_l1"
2073.83333333333,"visual","S09_a2"
2169.83333333333,"visual","S10_l1"
1758.33333333333,"visual","S02_a2"
2214.66666666667,"visual","S09_l1"
2429,"visual","S05_l2"
2387.33333333333,"visual","S15_a2"
1961.83333333333,"visual","S08_a2"
2375,"visual","S09_l2"
2756,"visual","S06_l3"
2078.33333333333,"visual","S06_l1"
5112,"visual","S09_a3"
2120,"visual","S14_l1"
1828.66666666667,"visual","S18_l3"
2491.83333333333,"visual","S16_a2"
1740.33333333333,"visual","S18_l2"
1566.83333333333,"visual","S14_a1"
1371.5,"visual","S05_a1"
1925.33333333333,"visual","S03_a1"
1660.66666666667,"visual","S01_l1"
1505,"visual","S17_a3"
1651,"visual","S03_l2"
2262.83333333333,"visual","S05_a3"
2063.83333333333,"visual","S15_l1"
1508,"visual","S17_a2"
2379.66666666667,"visual","S08_a1"
1623.33333333333,"visual","S13_a3"
1964.33333333333,"visual","S18_a2"
2099.83333333333,"visual","S03_l1"
1149.33333333333,"visual","S12_a3"
2231.66666666667,"visual","S15_a1"
4864,"visual","S09_a1"
2623.83333333333,"visual","S06_a1"
1814.5,"visual","S09_l3"
2119.33333333333,"visual","S17_l1"
1778,"visual","S10_a1"
1342.5,"visual","S07_l1"
1671.33333333333,"visual","S02_l3"
1306,"visual","S15_l3"
2022,"visual","S14_a2"
1932.66666666667,"visual","S18_a1"
2037.66666666667,"visual","S11_a3"
2260.5,"visual","S13_l1"
1933.5,"visual","S14_l3"
3058.66666666667,"visual","S11_l2"
1991.16666666667,"visual","S11_a1"
2298.33333333333,"visual","S04_a1"
2027.16666666667,"visual","S02_l1"
2650.83333333333,"visual","S12_l2"
1725.5,"visual","S17_l3"
1936.33333333333,"visual","S01_l2"
1836,"visual","S10_l3"
2324.16666666667,"visual","S01_a3"
2168,"visual","S08_l1"
2860.33333333333,"visual","S15_a3"
2135,"visual","S07_a3"
2546.5,"visual","S01_a1"
1382.83333333333,"visual","S02_a3"
3021.33333333333,"visual","S12_l3"
1907.66666666667,"visual","S10_a2"
1948.83333333333,"visual","S13_l2"
1892.5,"visual","S05_a2"
1558.33333333333,"visual","S17_l2"
1408.16666666667,"visual","S02_a1"
3248.16666666667,"visual","S16_l2"
1917.16666666667,"visual","S07_l3"
1898.66666666667,"visual","S13_a2"
2555.83333333333,"visual","S04_l3"
2113,"visual","S14_a3"
2970.5,"visual","S11_l3"
1588.83333333333,"visual","S10_l2"
